"","filename","train_acc","val_acc","train_auc","val_auc","train_los","val_los","val_mmc","tn","fp","fn","tp","time","ep_stopped","index_fold","seed","date_time","dataset","representation","color_img","model","bin","taxa","estop","padding","type_evaluate","whole","resolution","autofit_data","scale_mode","bin_scale","del0","rep_bin","rep_bin_model"
"211","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.833,1,0.771,0.213,0.549,0.683,7,0,2,3,207.701,30,1,1,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"212","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.928,0.667,0.992,0.686,0.36,0.637,0.293,6,1,3,2,227.461,19,1,2,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"213","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.917,1,0.829,0.029,0.474,0.837,7,0,1,4,253.304,69,1,3,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"214","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.727,1,0.8,0.017,0.508,0.449,5,1,2,3,288.248,124,1,4,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"215","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.939,0.727,0.994,0.767,0.32,0.621,0.516,6,0,3,2,305.661,20,1,5,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"216","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.724,0.364,0.963,0.267,0.531,0.797,-0.311,3,3,4,1,322.086,9,1,6,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"217","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.9,1,0.875,0.005,0.366,0.802,6,0,1,3,355.37,154,1,7,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"218","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.8,1,0.917,0.011,0.426,0.583,5,1,1,3,392.888,123,1,8,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"219","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.899,0.5,0.985,0.625,0.409,0.653,-0.089,4,2,3,1,414.362,18,1,9,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"220","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,1,1,1,0,0.154,1,6,0,0,4,495.931,500,2,0,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"221","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.667,1,0.657,0.16,0.662,0.314,5,2,2,3,513.16,28,2,1,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"222","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.833,1,0.971,0,0.256,0.657,6,1,1,4,590.731,410,2,2,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"223","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.979,0.583,1,0.714,0.268,0.606,0.12,5,2,3,2,611.241,26,2,3,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"224","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.939,0.727,0.998,0.6,0.269,0.653,0.449,5,1,2,3,635.667,25,2,4,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"225","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.929,0.727,1,0.7,0.28,0.636,0.516,6,0,3,2,656.614,22,2,5,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"226","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.727,1,0.733,0.07,0.582,0.449,5,1,2,3,678.627,52,2,6,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"227","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.8,1,0.833,0.04,0.47,0.612,6,0,2,2,707.554,64,2,7,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
